21/04/11 12:34:18,empleospublicos.pages,>>>>>>>>>>>>>>>>>>>>>>> https://empleospublicos.cl/teee/data/convocatorias_sii.txt?nocache=1618158858276 false
21/04/11 12:34:24,empleospublicos.pages,15/7/2019 -> 2/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/15 -> 19/08/02
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3234/proceso-abierto-tecnicoa-en-educacion-de-parvulos-para-jardines-infantiles-de-region-de-los-lagos/
21/04/11 12:34:24,empleospublicos.pages,15/7/2019 -> 2/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/15 -> 19/08/02
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3235/proceso-abierto-auxiliar-de-servicios-de-para-jardines-infantiles-de-region-de-los-lagos/
21/04/11 12:34:24,empleospublicos.pages,17/7/2019 -> 22/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/17 -> 19/07/22
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3244/operario-de-servicios-generales-direccion-nacional/
21/04/11 12:34:24,empleospublicos.pages,17/7/2019 -> 22/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/17 -> 19/07/22
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3246/abogadoa-seccion-de-estudios-y-pronunciamientos-direccion-nacional/
21/04/11 12:34:24,empleospublicos.pages,17/7/2019 -> 22/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/17 -> 19/07/22
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3225/proceso-abierto-tecnico-en-at-de-parvulos-jardin-amancay-comuna-de-freirina-region-de-atacama/
21/04/11 12:34:24,empleospublicos.pages,18/7/2019 -> 22/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/18 -> 19/07/22
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3261/encargadoa-seccion-compras-inventario-logistica-y-abastecimiento-direccion-nacional/
21/04/11 12:34:24,empleospublicos.pages,18/7/2019 -> 25/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/18 -> 19/07/25
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3263/proceso-abierto-asesora-de-unidad-educativa-mencion-practicas-pedagogicas-reg-metrop/
21/04/11 12:34:24,empleospublicos.pages,18/7/2019 -> 24/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/18 -> 19/07/24
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3249/proceso-abierto-profesional-de-infraestructura-region-metropolitana/
21/04/11 12:34:24,empleospublicos.pages,18/7/2019 -> 23/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/18 -> 19/07/23
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3260/proceso-abierto-encargadao-ji-pecezuelos-comuna-de-caldera-region-de-atacama/
21/04/11 12:34:24,empleospublicos.pages,18/7/2019 -> 22/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/18 -> 19/07/22
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3245/proceso-abierto-analista-de-personal-comuna-de-antofagasta/
21/04/11 12:34:24,empleospublicos.pages,19/7/2019 -> 23/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/19 -> 19/07/23
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3268/analista-oficina-de-contabilidad-departamento-de-recursos-financieros-direccion-nacional/
21/04/11 12:34:24,empleospublicos.pages,2/7/2019 -> 22/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/02 -> 19/07/22
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3104/constructor-civil-o-ingeniero-en-construccion-comuna-de-coyhaique-region-de-aysen/
21/04/11 12:34:24,empleospublicos.pages,17/7/2019 -> 22/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/17 -> 19/07/22
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3236/auxiliar-servicios-menores-jardin-homero-vigueras-canete-region-del-bio-bio/
21/04/11 12:34:24,empleospublicos.pages,22/7/2019 -> 26/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/22 -> 19/07/26
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3270/auxiliar-de-servicios-menores-comuna-de-la-union-sector-folleco-region-de-los-rios/
21/04/11 12:34:24,empleospublicos.pages,22/7/2019 -> 2/8/2019 0:00:00
21/04/11 12:34:24,empleospublicos.pages,19/07/22 -> 19/08/02
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3269/proceso-abierto-profesional-de-gestion-area-contable-financiera-comuna-de-valdivia-region-de-los-rios/
21/04/11 12:34:24,empleospublicos.pages,22/7/2019 -> 25/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/22 -> 19/07/25
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3262/proceso-abierto-secretariao-administrativo-programa-no-convencionales-cuidad-de-valdivia-region-de-los-rios/
21/04/11 12:34:24,empleospublicos.pages,22/7/2019 -> 26/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/22 -> 19/07/26
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3278/asesora-de-las-unidades-educativas-mencion-nutricion-y-salud-reemplazo/
21/04/11 12:34:24,empleospublicos.pages,23/7/2019 -> 25/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/23 -> 19/07/25
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3280/encargadoa-de-nuevos-jardines-infantiles-de-las-comunas-de-ancud-y-chonchi-region-de-los-lagos/
21/04/11 12:34:24,empleospublicos.pages,23/7/2019 -> 26/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/23 -> 19/07/26
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3284/administrativo-digitador-subdireccion-de-planificacion-concepcion-region-del-bio-bio/
21/04/11 12:34:24,empleospublicos.pages,23/7/2019 -> 25/7/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/23 -> 19/07/25
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3283/tecnicos-en-educacion-de-parvulos-comuna-de-lautaro-region-de-la-araucania/
21/04/11 12:34:24,empleospublicos.pages,30/7/2019 -> 5/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/30 -> 19/08/05
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3322/proceso-abierto-profesional-de-gestion-unidad-de-remuneraciones/
21/04/11 12:34:24,empleospublicos.pages,30/7/2019 -> 6/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/30 -> 19/08/06
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3334/educadora-de-parvulos-jardin-infantil-tierras-blancas-san-felipe-v-region/
21/04/11 12:34:24,empleospublicos.pages,31/7/2019 -> 12/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/31 -> 19/08/12
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3356/proceso-abierto-encargadoa-de-transferencia-de-capitales-de-unidad-de-cmee-region-metropolitana/
21/04/11 12:34:24,empleospublicos.pages,1/8/2019 -> 5/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/01 -> 19/08/05
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3354/reemplazo-pre-y-post-natal-profesional-financiero-para-calidad-educativa-direccion-regional-atacama/
21/04/11 12:34:24,empleospublicos.pages,31/7/2019 -> 5/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/07/31 -> 19/08/05
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3346/proceso-abierto-encargada-ji-zorzalito-comuna-de-tierra-amarilla-region-de-atacama/
21/04/11 12:34:24,empleospublicos.pages,1/8/2019 -> 5/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/01 -> 19/08/05
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3350/reemplazo-post-natal-asesor-de-las-unidades-educativas-comuna-de-temuco-region-de-la-araucania/
21/04/11 12:34:24,empleospublicos.pages,2/8/2019 -> 6/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/02 -> 19/08/06
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3349/educadora-de-parvulos-comuna-de-lautaro-region-de-la-araucania/
21/04/11 12:34:24,empleospublicos.pages,2/8/2019 -> 2/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/02 -> 19/09/02
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3380/proceso-abierto-tecnicosas-en-educacion-de-parvulos-de-reemplazo-comunas-region-metropolitana/
21/04/11 12:34:24,empleospublicos.pages,6/8/2019 -> 9/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/06 -> 19/08/09
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3388/proceso-abierto-tecnico-en-parvulos-ext-horaria-comuna-alto-del-carmen-region-de-atacama/
21/04/11 12:34:24,empleospublicos.pages,7/8/2019 -> 12/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/07 -> 19/08/12
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3396/proceso-abierto-trabajador-social-para-unidad-de-calidad-de-vida/
21/04/11 12:34:24,empleospublicos.pages,7/8/2019 -> 12/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/07 -> 19/08/12
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3398/proceso-abierto-aux-servicios-menores-comuna-de-chanaral-y-caldera-region-de-atacama/
21/04/11 12:34:24,empleospublicos.pages,7/8/2019 -> 12/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/07 -> 19/08/12
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3400/proceso-abierto-educadora-de-parvulos-ji-burbujitas-comuna-de-huasco-region-de-atacama/
21/04/11 12:34:24,empleospublicos.pages,7/8/2019 -> 13/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/07 -> 19/08/13
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3403/proceso-de-seleccion-encargada-jardin-infantil-villa-queronque-limache-v-region/
21/04/11 12:34:24,empleospublicos.pages,7/8/2019 -> 13/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/07 -> 19/08/13
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3405/proceso-de-seleccion-asesora-unidades-educativas-mencion-educacion-parvularia-petorca-v-region/
21/04/11 12:34:24,empleospublicos.pages,7/8/2019 -> 13/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/07 -> 19/08/13
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3406/educadora-de-parvulos-nuevo-jardin-andres-bello-limache-region-de-valparaiso/
21/04/11 12:34:24,empleospublicos.pages,7/8/2019 -> 13/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/07 -> 19/08/13
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3407/tecnicas-en-educacion-parvularia-nuevo-jardin-infantil-andres-bello-limache-v-region/
21/04/11 12:34:24,empleospublicos.pages,9/8/2018 -> 13/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,18/08/09 -> 19/08/13
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3411/proceso-abierto-administrativoa-region-metropolitana/
21/04/11 12:34:24,empleospublicos.pages,9/8/2019 -> 13/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/09 -> 19/08/13
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3412/proceso-abierto-profesional-de-infraestructura-arquitectoa-region-metropolitana/
21/04/11 12:34:24,empleospublicos.pages,9/8/2019 -> 13/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/09 -> 19/08/13
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3417/proceso-abierto-encargada-ji-semillitas-de-amor-comuna-de-alto-del-carmen-reg-de-atacama/
21/04/11 12:34:24,empleospublicos.pages,9/8/2019 -> 19/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/09 -> 19/08/19
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3421/proceso-abierto-tecnicos-en-atencion-de-parvulos-media-jornada-region-de-arica-y-parinacota/
21/04/11 12:34:24,empleospublicos.pages,12/8/2019 -> 15/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/12 -> 19/08/15
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3429/ranking-educadora-de-parvulo-comuna-de-punta-arenas-region-de-magallanes-y-antartica-chilena/
21/04/11 12:34:24,empleospublicos.pages,12/8/2019 -> 16/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/12 -> 19/08/16
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3425/educadora-de-parvulos-comuna-de-loncoche-region-de-la-araucania/
21/04/11 12:34:24,empleospublicos.pages,13/8/2019 -> 16/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/13 -> 19/08/16
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3434/proceso-abierto-tecnico-de-exthoraria-comuna-de-alto-del-carmne-region-de-atacama/
21/04/11 12:34:24,empleospublicos.pages,12/8/2019 -> 19/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/12 -> 19/08/19
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3432/proceso-abierto-auxiliar-de-servicios-menores-media-jornada-22-horas/
21/04/11 12:34:24,empleospublicos.pages,13/8/2019 -> 23/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/13 -> 19/08/23
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3439/proceso-abierto-educadora-de-parvulos-para-jardines-infantiles-de-reemplazo-region-de-arica-y-parinacota/
21/04/11 12:34:24,empleospublicos.pages,13/8/2019 -> 20/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/13 -> 19/08/20
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3440/proceso-abierto-tecnico-en-atencion-de-parvulos-de-reemplazo-region-de-arica-y-parinacota/
21/04/11 12:34:24,empleospublicos.pages,13/8/2019 -> 20/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/13 -> 19/08/20
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3441/proceso-abierto-auxiliar-de-servicios-de-reemplazopara-jardines-infantiles-region-de-arica-y-parinacota/
21/04/11 12:34:24,empleospublicos.pages,12/8/2019 -> 15/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/12 -> 19/08/15
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3426/proceso-abierto-periodista-unidad-de-comunicaciones-comuna-de-puerto-montt-region-de-los-lagos/
21/04/11 12:34:24,empleospublicos.pages,14/8/2019 -> 16/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/14 -> 19/08/16
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3458/profesional-de-gestion-proyecto-visualiza-departamento-de-recursos-financieros-direccion-nacional/
21/04/11 12:34:24,empleospublicos.pages,19/8/2019 -> 22/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/19 -> 19/08/22
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3462/proceso-abierto-tecnico-en-soporte-y-servicios-informaticos-comuna-de-la-serena-region-de-coquimbo/
21/04/11 12:34:24,empleospublicos.pages,19/8/2019 -> 23/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/19 -> 19/08/23
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3479/encargada-de-jardin-infantil-tierras-blancas-san-felipe-v-region/
21/04/11 12:34:24,empleospublicos.pages,19/8/2019 -> 23/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/19 -> 19/08/23
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3478/educadoras-de-parvulos-para-reemplazos-region-de-valparaiso/
21/04/11 12:34:24,empleospublicos.pages,19/8/2019 -> 23/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/19 -> 19/08/23
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3477/tecnicos-en-educacion-parvularia-para-reemplazos-region-de-valparaiso/
21/04/11 12:34:24,empleospublicos.pages,19/8/2019 -> 22/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/19 -> 19/08/22
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3469/proceso-abierto-tecen-at-de-parvulos-media-jornadacomuna-de-vallenar-region-de-atacama/
21/04/11 12:34:24,empleospublicos.pages,20/8/2019 -> 23/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/20 -> 19/08/23
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3483/reemplazo-administrativo-subdireccion-de-recursos-financiero-comuna-de-temuco-region-de-la-araucania/
21/04/11 12:34:24,empleospublicos.pages,20/8/2019 -> 23/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/20 -> 19/08/23
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3495/tecnico-en-parvulo-jardin-infantil-la-gloria-comuna-de-talcahuano-region-del-bio-bio/
21/04/11 12:34:24,empleospublicos.pages,21/8/2019 -> 23/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/21 -> 19/08/23
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3499/tecnico-en-atencion-de-parvulos-comuna-de-chillan-y-bulnes-region-de-nuble/
21/04/11 12:34:24,empleospublicos.pages,22/8/2019 -> 26/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/22 -> 19/08/26
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3506/auxiliar-de-servicios-comuna-de-bulnes-region-de-nuble/
21/04/11 12:34:24,empleospublicos.pages,22/8/2019 -> 27/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/22 -> 19/08/27
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3436/proceso-externo-tecnico-en-educacion-parvularia-sector-santa-rosa-comuna-de-paillaco-region-de-los-rios/
21/04/11 12:34:24,empleospublicos.pages,22/8/2019 -> 13/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/22 -> 19/09/13
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3512/reemplazos-tecnicos-en-atencion-de-parvulos-region-de-ohiggins-2/
21/04/11 12:34:24,empleospublicos.pages,22/8/2019 -> 26/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/22 -> 19/08/26
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3513/tecnicos-en-educacion-de-parvulos-comuna-de-lautaro-region-de-la-araucania-2/
21/04/11 12:34:24,empleospublicos.pages,23/8/2019 -> 29/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/23 -> 19/08/29
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3515/tecnico-en-educacion-de-parvulos-comuna-de-los-lagos-region-de-los-rios/
21/04/11 12:34:24,empleospublicos.pages,21/8/2019 -> 27/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/21 -> 19/08/27
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3497/proceso-de-seleccion-educadora-pedagogica-itinerante-ceci-v-region/
21/04/11 12:34:24,empleospublicos.pages,26/8/2019 -> 28/8/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/26 -> 19/08/28
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3528/profesional-de-gestion-de-activo-fijo-comuna-de-providencia-direccion-nacional/
21/04/11 12:34:24,empleospublicos.pages,26/8/2019 -> 30/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/26 -> 19/09/30
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3520/reemplazos-tecnicos-en-atencion-de-parvulos-jardines-alternativos-region-de-ohiggins/
21/04/11 12:34:24,empleospublicos.pages,27/8/2019 -> 3/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/27 -> 19/09/03
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3415/tecnico-en-informatica-en-el-area-de-gestion-y-desarrollo-de-las-personas-region-metropolitana/
21/04/11 12:34:24,empleospublicos.pages,27/8/2019 -> 3/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/27 -> 19/09/03
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3480/tecnico-en-licencia-medicas-reemplazo-region-metropolitana/
21/04/11 12:34:24,empleospublicos.pages,29/8/2019 -> 4/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/08/29 -> 19/09/04
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3569/profesional-a-honorarios-encargado-de-proyectos-vtf-para-direccion-nacional/
21/04/11 12:34:24,empleospublicos.pages,2/9/2019 -> 2/10/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/09/02 -> 19/10/02
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3584/ranking-tecnico-en-atencion-de-parvulos-varias-comunas-de-la-region-de-atacama/
21/04/11 12:34:24,empleospublicos.pages,2/9/2019 -> 11/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/09/02 -> 19/09/11
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl https://www.hcmfront.com/process/selection/postulant/3589/
21/04/11 12:34:24,empleospublicos.pages,2/9/2019 -> 6/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/09/02 -> 19/09/06
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3593/profesional-de-gestion-auditor-interno-direccion-nacional-de-la-junji-region-metropolitana-de-santiago/
21/04/11 12:34:24,empleospublicos.pages,2/9/2019 -> 6/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/09/02 -> 19/09/06
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3599/encargada-de-jardin-infantil-comuna-de-antofagasta-region-de-antofagasta/
21/04/11 12:34:24,empleospublicos.pages,3/9/2019 -> 9/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/09/03 -> 19/09/09
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3606/educadora-de-lengua-y-cultura-indigena-comuna-de-san-pedro-de-atacama-region-de-antofagasta/
21/04/11 12:34:24,empleospublicos.pages,3/9/2019 -> 6/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/09/03 -> 19/09/06
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3616/auxiliar-servicios-menores-jardin-infantil-abejitas-comuna-de-lota-region-del-bio-bio/
21/04/11 12:34:24,empleospublicos.pages,3/9/2019 -> 10/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/09/03 -> 19/09/10
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3590/educadora-diferencial-a-honorarios-para-programa-senadis-region-metropolitana/
21/04/11 12:34:24,empleospublicos.pages,3/9/2019 -> 13/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/09/03 -> 19/09/13
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3597/reemplazos-educadora-de-parvulos-para-comunas-con-alta-demanda-region-metropolitana/
21/04/11 12:34:24,empleospublicos.pages,3/9/2019 -> 9/9/2019 23:59:00
21/04/11 12:34:24,empleospublicos.pages,19/09/03 -> 19/09/09
.21/04/11 12:34:24,empleospublicos.pages,empleospublicos.cl http://junji.myfront.cl/oferta-de-empleo/3604/coordinadora-provincial-region-metropolitana/
21/04/11 12:34:24,empleospublicos.pages,3/9/2019 -> 9/9/2019 23:59:00
